task_id,category,asset_id,style_tag,text_desc,target_height_m,target_width_m,target_depth_m,poly_budget_k,texture_budget,max_materials,deliverables,license,source,status
T0001,bench,bench_001,modern,"a sleek modern steel park bench with flat slab seat and thin tubular legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0002,bench,bench_002,classic,"a classic wooden slatted park bench with curved armrests and cast iron scroll legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0003,bench,bench_003,industrial,"an industrial heavy-duty metal bench with perforated steel seat and thick angle-iron frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0004,bench,bench_004,minimalist,"a minimalist concrete slab bench with no backrest and hidden pedestal base",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0005,bench,bench_005,ornate,"an ornate wrought-iron bench with decorative scrollwork backrest and gold-tipped armrests",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0006,bench,bench_006,retro,"a retro 1950s diner-style bench with rounded chrome legs and bright colored seat",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0007,bench,bench_007,modular,"a modular interlocking bench system with three separate colored seat segments",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0008,bench,bench_008,eco,"an eco-friendly recycled timber bench with natural bark texture and green tinted legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0009,bench,bench_009,brutalist,"a brutalist raw concrete bench with thick monolithic slab seat and block supports",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0010,bench,bench_010,nordic,"a nordic light birch wood bench with slender tapered legs and low curved backrest",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0011,bench,bench_011,japan_scandi,"a Japanese-Scandinavian zen bench with low profile seat and minimal wooden frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0012,bench,bench_012,victorian,"a Victorian ornamental cast iron bench with decorative floral backrest and claw feet",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0013,bench,bench_013,contemporary,"a contemporary asymmetric bench with angled backrest and mixed metal-wood materials",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0014,bench,bench_014,tactical,"a tactical anti-vandal bench with center divider armrests and bolted steel frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0015,bench,bench_015,art_deco,"an art deco geometric bench with stepped zigzag backrest and gold-black contrast finish",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0016,lamp,lamp_001,modern,"a modern slim cylindrical street lamp with flat rectangular LED head and round base plate",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0017,lamp,lamp_002,classic,"a classic tapered street lamp with spherical glass globe lantern and flared base",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0018,lamp,lamp_003,industrial,"an industrial heavy square-pole street lamp with large rectangular floodlight head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0019,lamp,lamp_004,minimalist,"a minimalist ultra-thin pole lamp with tiny disc light at the tip and flush base",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0020,lamp,lamp_005,ornate,"an ornate multi-arm street lamp with three curved branches each holding a sphere lantern",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0021,lamp,lamp_006,retro,"a retro gooseneck street lamp with large bowl-shaped shade and ribbed pole",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0022,lamp,lamp_007,modular,"a modular segmented street lamp with visible joint rings between pole sections",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0023,lamp,lamp_008,eco,"an eco solar-powered street lamp with tilted panel on top and cylindrical LED head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0024,lamp,lamp_009,brutalist,"a brutalist massive concrete-finish square lamp post with embedded rectangular light",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0025,lamp,lamp_010,nordic,"a nordic slender birch-toned lamp post with small conical downlight shade",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0026,lamp,lamp_011,japan_scandi,"a Japanese-Scandinavian paper-lantern style lamp with wooden pole and box shade",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0027,lamp,lamp_012,victorian,"a Victorian cast iron street lamp with four ornamental branches and glass globe tops",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0028,lamp,lamp_013,contemporary,"a contemporary angled street lamp with tilted arm and elongated oval light head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0029,lamp,lamp_014,tactical,"a tactical high-visibility lamp with armored cylindrical housing and reflective yellow band",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
